distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
3153.74,3158.327,GW2950,3.78102732,-71.47564728,353,460,6.35,42000,12,
3158.327,3170.287,GW2960,3.781023963,-71.47569057,352.5,460,6.35,42000,12,
3170.287,3182.284,GW2970,3.7810193,-71.47580368,352,460,6.35,42000,12,
3182.284,3194.254,GW2980,3.78101513,-71.47591716,351.5,460,6.35,42000,12,
3194.254,3206.283,GW2990,3.781010969,-71.47603038,351,460,6.35,42000,12,
3206.283,3216.533,GW3000,3.781006787,-71.47614416,350.5,460,6.35,42000,12,
3216.533,3228.526,GW3010,3.781010471,-71.47624092,350,460,6.35,42000,12,
3228.526,3240.561,GW3020,3.781050148,-71.47634703,349.5,460,6.35,42000,12,
3240.561,3252.604,GW3030,3.781102311,-71.47644829,349,460,6.35,42000,12,
3252.604,3263.104,GW3040,3.781157641,-71.47654794,348.5,460,6.35,42000,12,
3263.104,3275.124,GW3050,3.781206737,-71.47663436,348,460,6.35,42000,12,
3275.124,3287.154,GW3060,3.781262935,-71.47673328,347.5,460,6.35,42000,12,
3287.154,3299.197,GW3070,3.781319181,-71.47683229,347,460,6.35,42000,12,
3299.197,3311.227,GW3080,3.781375489,-71.47693141,346.5,460,6.35,42000,12,
3311.227,3323.261,GW3090,3.781431747,-71.47703041,346,460,6.35,42000,12,
3323.261,3335.277,GW3100,3.781488365,-71.47712925,345.5,460,6.35,42000,12,
3335.277,3341.302,GW3110,3.781545013,-71.47722787,345,460,6.35,42000,12,
3341.302,3353.319,GW3120,3.781573417,-71.47727732,344.5,460,6.35,42000,12,
3353.319,3365.301,GW3130,3.781630067,-71.47737596,344,460,6.35,42000,12,
3365.301,3377.284,GW3140,3.781686555,-71.4774743,343.5,460,6.35,42000,12,
3377.284,3379.326,GW3150,3.781743048,-71.47757266,343,460,6.35,42000,12,
3379.326,3391.357,GW3160,3.781752674,-71.47758942,342.5,460,6.35,42000,12,
3391.357,3394.728,GW3170,3.78180939,-71.47768817,342,460,6.35,42000,12,
3394.728,3406.752,GW3180,3.781825282,-71.47771584,341.5,460,6.35,42000,12,
3406.752,3418.814,GW3190,3.781881968,-71.47781453,341,460,6.35,42000,12,
3418.814,3430.832,GW3200,3.78193883,-71.47791353,340.5,460,6.35,42000,12,
3430.832,3442.809,GW3210,3.781995445,-71.4780122,340,460,6.35,42000,12,
3442.809,3454.764,GW3220,3.782051571,-71.4781107,339.5,460,6.35,42000,12,
3454.764,3466.74,GW3230,3.782107489,-71.47820908,339,460,6.35,42000,12,
3466.74,3471.02,GW3240,3.782163504,-71.47830763,338.5,460,6.35,42000,12,
3471.02,3483.062,GW3250,3.782183523,-71.47834285,338,460,6.35,42000,12,
