distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
2454.113,2466.329,GW2210,5.4128225,-72.31627333,274.866,355.6,9.53,60000,12.216,ERW
2466.329,2478.568,GW2220,5.412804722,-72.3163825,274.873,355.6,9.53,60000,12.239,ERW
2478.568,2490.81,GW2230,5.412786111,-72.31649194,274.968,355.6,9.53,60000,12.242,ERW
2490.81,2501.959,GW2240,5.4127675,-72.31660111,275.156,355.6,9.53,60000,11.149,ERW
2501.959,2503.963,GW2250,5.41275,-72.31670056,275.205,355.6,9.53,60000,2.004,ERW
2503.963,2516.156,GW2260,5.412746944,-72.31671833,275.174,355.6,9.53,60000,12.193,ERW
2516.156,2522.775,GW2270,5.412726944,-72.31682694,274.675,355.6,9.53,60000,6.619,ERW
2522.775,2535.021,GW2280,5.4127175,-72.31688583,274.115,355.6,9.53,60000,12.246,ERW
2535.021,2547.167,GW2290,5.412699722,-72.316995,274.473,355.6,9.53,60000,12.146,ERW
2547.167,2559.225,GW2300,5.4126825,-72.31710306,275.564,355.6,9.53,60000,12.058,ERW
2559.225,2571.509,GW2310,5.412664167,-72.31721083,276.019,355.6,9.53,60000,12.284,ERW
2571.509,2575.018,GW2320,5.412646389,-72.31732056,276.406,355.6,9.53,60000,3.509,ERW
2575.018,2587.092,GW2330,5.412641389,-72.31735194,276.557,355.6,9.53,60000,12.074,ERW
2587.092,2599.365,GW2340,5.412620278,-72.31745889,277.298,355.6,9.53,60000,12.273,ERW
2599.365,2611.647,GW2350,5.412593889,-72.31756667,277.985,355.6,9.53,60000,12.282,ERW
2611.647,2623.94,GW2360,5.412567222,-72.31767417,278.753,355.6,9.53,60000,12.293,ERW
2623.94,2635.766,GW2370,5.41254,-72.31778194,279.652,355.6,9.53,60000,11.826,ERW
2635.766,2648.029,GW2380,5.412514444,-72.31788583,280.226,355.6,9.53,60000,12.263,ERW
2648.029,2660.312,GW2390,5.412488611,-72.31799361,280.784,355.6,9.53,60000,12.283,ERW
2660.312,2672.593,GW2400,5.412460833,-72.31810139,281.249,355.6,9.53,60000,12.281,ERW
2672.593,2684.848,GW2410,5.412432222,-72.31820861,281.684,355.6,9.53,60000,12.255,ERW
2684.848,2697.153,GW2420,5.412403611,-72.31831583,282.189,355.6,9.53,60000,12.305,ERW
2697.153,2709.454,GW2430,5.412373333,-72.31842306,282.616,355.6,9.53,60000,12.301,ERW
2709.454,2721.745,GW2440,5.412339444,-72.31852917,283.033,355.6,9.53,60000,12.291,ERW
2721.745,2734.034,GW2450,5.412306111,-72.31863528,283.295,355.6,9.53,60000,12.289,ERW
2734.034,2746.332,GW2460,5.412271944,-72.31874111,283.471,355.6,9.53,60000,12.298,ERW
2746.332,2758.619,GW2470,5.412237222,-72.31884694,283.719,355.6,9.53,60000,12.287,ERW
2758.619,2770.846,GW2480,5.4122025,-72.3189525,283.81,355.6,9.53,60000,12.227,ERW
2770.846,2783.143,GW2490,5.412167222,-72.3190575,284.012,355.6,9.53,60000,12.297,ERW
2783.143,2795.411,GW2500,5.412131667,-72.31916306,284.195,355.6,9.53,60000,12.268,ERW
2795.411,2807.714,GW2510,5.412095833,-72.31926833,284.35,355.6,9.53,60000,12.303,ERW
2807.714,2819.508,GW2520,5.412060556,-72.31937389,284.516,355.6,9.53,60000,11.794,ERW
2819.508,2831.077,GW2530,5.412026944,-72.31947528,284.524,355.6,9.53,60000,11.569,ERW
2831.077,2843.374,GW2540,5.411994444,-72.319575,284.662,355.6,9.53,60000,12.297,ERW
2843.374,2855.653,GW2550,5.41196,-72.31968083,284.858,355.6,9.53,60000,12.279,ERW
2855.653,2867.822,GW2560,5.411925556,-72.31978667,285.042,355.6,9.53,60000,12.169,ERW
2867.822,2880.037,GW2570,5.411891389,-72.31989139,285.136,355.6,9.53,60000,12.215,ERW
2880.037,2892.264,GW2580,5.411856667,-72.31999639,285.057,355.6,9.53,60000,12.227,ERW
2892.264,2900.216,GW2590,5.411821944,-72.32010111,284.11,355.6,9.53,60000,7.952,ERW
2900.216,2912.033,GW2600,5.4118,-72.32016917,282.991,355.6,9.53,60000,11.817,ERW
2912.033,2924.275,GW2610,5.411765833,-72.32027028,282.262,355.6,9.53,60000,12.242,ERW
2924.275,2936.408,GW2620,5.411730278,-72.32037528,282.077,355.6,9.53,60000,12.133,ERW
